Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg
Wentworth Prison,"Crime, Drama",0,8241,8.8,65,32,21,9,-1,9,626,576,25,25
Behzat Ç.: Bir Ankara Polisiyesi,"Crime, Drama, Mystery",0,16699,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Garth Marenghi's Darkplace,Comedy,0,12026,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Permanent Roommates,"Comedy, Romance",0,10904,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Police Squad!,"Comedy, Crime",0,10347,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Isler Güçler,Comedy,0,14620,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Community,Comedy,0,148510,8.5,69,23,16,7,0,8,679,638,12,29
Carnivàle,"Drama, Fantasy, Mystery",0,34101,8.5,65,28,18,9,-1,8,60,55,1,4
Modern Family,"Comedy, Romance",0,251844,8.5,86,27,27,-1,0,8,603,540,30,33
X-Men,"Animation, Action, Family",0,24851,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Larry Sanders Show,Comedy,0,4857,8.6,91,15,15,-1,0,6,14,10,1,3
Scenes from a Marriage,Drama,0,11794,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jeeves and Wooster,Comedy,0,8108,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Endeavour,"Crime, Drama, Mystery",0,7236,8.6,80,7,7,-1,0,7,29,22,3,4
Entourage,"Comedy, Drama",0,137378,8.5,68,19,12,6,-1,8,77,71,2,4
Parasyte: The Maxim,"Animation, Horror, Sci-Fi",0,7493,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Walking Dead,"Drama, Horror, Thriller",0,658027,8.6,82,25,23,2,0,8,2395,2,144,225
The Muppet Show,"Comedy, Family, Music",0,15405,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Utopia,"Drama, Mystery, Sci-Fi",0,25788,8.5,38,4,-1,2,-1,4,33,11,5,17
Generation War,"Drama, History, War",57,15112,8.5,-1,-1,-1,-1,0,7,13,10,-1,3
